City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
128,carnarvon,8,ZA,1525277133,14,-30.97,22.13,68.91,15.01
129,birjand,0,IR,1525273200,19,32.86,59.22,69.8,13.87
130,cape town,75,ZA,1525273200,82,-33.93,18.42,62.6,10.29
131,marathon,90,CA,1525273200,80,48.72,-86.38,35.6,10.29
132,caceres,12,CO,1525277135,68,5.53,-74.53,78.63,2.71
133,kathu,0,ZA,1525277136,35,-27.7,23.05,75.39,8.97
134,kodiak,75,US,1525275480,83,39.95,-94.76,75.2,14.99
135,mbandaka,12,CD,1525277137,76,0.05,18.26,85.74,2.26
136,verkhoyansk,76,RU,1525277137,80,67.55,133.39,39.66,8.08
137,sovetskiy,92,RU,1525277137,90,56.76,48.47,50.91,9.19
138,dryden,90,CA,1525273200,93,49.79,-92.84,37.4,5.82
139,jaciara,0,BR,1525277138,53,-15.95,-54.98,88.71,5.39
140,mastic beach,1,US,1525276560,34,40.77,-72.85,80.6,9.17
141,madang,44,PG,1525277138,100,-5.21,145.81,75.21,4.72
142,bambous virieux,40,MU,1525273200,61,-20.34,57.76,77.0,14.99
143,qaqortoq,75,GL,1525272600,68,60.72,-46.03,30.2,5.82
144,mar del plata,64,AR,1525277139,59,-46.43,-67.52,54.24,9.86
145,olinda,40,EC,1525273200,58,-2.03,-79.75,86.0,6.93
146,tawau,75,MY,1525273200,94,4.26,117.89,77.0,1.81
147,lusk,40,IE,1525275000,62,53.53,-6.17,53.6,20.8
148,fukue,75,JP,1525275000,94,35.03,136.69,68.0,16.11
149,beloha,76,MG,1525277141,37,-25.17,45.06,82.41,9.42
150,saskylakh,44,RU,1525277141,81,71.97,114.09,7.89,12.77
151,bulgan,76,MN,1525277141,61,48.81,103.53,49.92,4.05
152,dmitriyevka,56,GE,1525277142,83,43.08,41.0,60.99,1.59
153,ukiah,1,US,1525272960,81,39.15,-123.21,48.2,2.04
154,cayenne,75,GF,1525275000,74,4.94,-52.33,84.2,13.87
155,slave lake,90,CA,1525273200,59,55.28,-114.77,42.8,3.36
156,arraial do cabo,20,BR,1525273200,74,-22.97,-42.02,86.0,11.41
157,sinegorskiy,0,RU,1525277143,32,48.01,40.84,77.37,10.65
158,dagana,0,MR,1525273200,11,16.52,-15.51,104.0,2.24
159,san cristobal,75,EC,1525273200,76,-0.39,-78.55,57.2,9.17
160,hede,75,SE,1525276200,87,60.45,15.49,48.2,10.29
161,santa ana,0,SV,1525272600,73,13.99,-89.56,87.8,6.93
162,nikolskoye,40,RU,1525275000,71,59.7,30.79,50.0,15.66
163,hamilton,20,BM,1525272900,64,32.3,-64.78,71.6,10.29
164,epernay,75,FR,1525275000,67,45.45,5.88,60.8,9.17
165,port hedland,12,AU,1525275000,78,-20.31,118.58,73.4,8.05
166,tazovskiy,48,RU,1525277164,81,67.47,78.7,10.32,17.69
167,banos,0,FR,1525275000,51,43.74,-0.62,60.8,12.75
168,kaitangata,68,NZ,1525277164,77,-46.28,169.85,46.86,3.6
169,mahebourg,40,MU,1525273200,61,-20.41,57.7,77.0,14.99
170,miramar,0,CR,1525273200,47,10.09,-84.73,78.8,17.22
171,airai,56,TL,1525277165,92,-8.93,125.41,68.55,2.15
172,aswan,0,EG,1525277165,15,24.09,32.9,102.66,7.4
173,puerto colombia,40,CO,1525273200,74,10.99,-74.96,86.0,6.93
174,linhares,0,BR,1525277166,59,-19.38,-40.06,85.56,6.73
175,gonbad-e qabus,56,IR,1525277166,64,37.25,55.17,68.37,2.71
176,pangkalanbuun,12,ID,1525277168,89,-2.68,111.62,76.56,4.38
177,mount isa,0,AU,1525275000,62,-20.73,139.49,59.0,5.95
178,vung tau,40,VN,1525275000,74,10.35,107.08,86.0,6.93
179,palana,92,RU,1525277169,93,59.08,159.95,26.97,4.83
180,sao jose da coroa grande,92,BR,1525277169,100,-8.9,-35.15,78.09,7.18
181,saldanha,88,PT,1525277169,57,41.42,-6.55,55.77,6.29
182,dingle,20,PH,1525277169,91,11.0,122.67,78.18,4.16
183,sitka,80,US,1525277170,45,37.17,-99.65,78.36,18.92
184,samarai,88,PG,1525277170,100,-10.62,150.67,80.7,11.1
185,ambulu,8,ID,1525277170,100,-8.35,113.61,77.64,5.39
186,harper,90,US,1525274100,78,30.3,-99.24,77.0,11.41
187,klaksvik,36,FO,1525276200,99,62.23,-6.59,46.4,5.82
188,codrington,12,AU,1525277171,92,-28.95,153.24,53.34,2.48
189,katsuura,68,JP,1525277171,94,33.93,134.5,63.24,3.6
190,santa teresa,20,VE,1525273200,74,10.26,-66.69,84.2,6.93
191,baiyin,0,CN,1525273200,46,36.55,104.13,50.0,4.47
192,lazaro cardenas,75,MX,1525272480,24,28.39,-105.62,71.6,17.22
193,surami,0,GE,1525277193,57,42.02,43.56,63.42,4.72
194,talnakh,76,RU,1525277175,89,69.49,88.39,16.89,9.64
195,green river,90,US,1525272840,86,41.53,-109.47,32.0,8.05
196,fortuna,40,ES,1525275000,24,38.18,-1.13,75.2,12.75
197,medvedka,92,RU,1525277175,45,61.17,46.39,50.19,7.74
198,saint-joseph,90,FR,1525275000,63,43.56,6.97,68.0,2.24
199,shubarshi,0,KZ,1525277176,50,48.59,57.19,71.07,7.96
200,riyadh,40,SA,1525273200,14,24.63,46.72,91.4,9.17
201,sorland,0,NO,1525274400,75,67.67,12.69,50.0,5.82
202,balkhash,0,KZ,1525277177,85,46.84,74.98,51.63,15.46
203,monrovia,40,LR,1525275000,62,6.33,-10.8,89.6,13.87
204,nigel,0,ZA,1525277178,34,-26.43,28.47,66.66,8.86
205,kaduqli,0,SD,1525277178,22,11.01,29.72,99.51,4.16
206,lata,88,IN,1525277178,100,30.78,78.62,49.74,2.04
207,yairipok,0,IN,1525277179,94,24.67,94.07,64.86,1.36
208,cockburn town,56,TC,1525277179,100,21.46,-71.14,78.63,15.01
209,viedma,90,AR,1525274220,76,-40.81,-62.99,57.2,10.29
210,gazanjyk,0,TM,1525277184,21,39.24,55.52,71.07,17.02
211,mabaruma,100,GY,1525277187,90,8.2,-59.78,78.9,8.75
212,muros,90,ES,1525275000,93,42.77,-9.06,51.8,8.05
213,teya,75,MX,1525272660,79,21.05,-89.07,84.2,12.75
214,dolni bousov,0,CZ,1525273200,46,50.44,15.13,77.0,8.05
215,kastamonu,68,TR,1525277193,67,41.38,33.78,63.42,0.58
216,fairbanks,90,US,1525274580,92,64.84,-147.72,30.2,4.7
217,anchorage,75,US,1525273860,69,61.22,-149.89,37.4,14.99
218,karratha,8,AU,1525277194,68,-20.74,116.85,68.73,8.08
219,ponta do sol,0,BR,1525277195,52,-20.63,-46.0,79.35,7.63
220,aranos,36,NA,1525277195,22,-24.14,19.11,80.34,8.97
221,nuevo progreso,90,US,1525274100,62,26.05,-97.95,86.0,18.34
222,tautira,68,PF,1525275000,88,-17.73,-149.15,75.2,2.24
223,svetlaya,88,RU,1525277196,96,46.54,138.33,38.13,16.58
224,erzin,20,TR,1525276200,45,36.95,36.2,82.4,6.93
225,manono,48,CD,1525277197,96,-7.3,27.4,74.94,5.95
226,dikson,76,RU,1525277197,94,73.51,80.55,18.33,16.46
227,ryotsu,92,JP,1525277197,78,38.08,138.43,63.51,10.31
228,mindelo,75,PT,1525275000,67,41.31,-8.72,60.8,8.05
229,nikko,100,JP,1525277198,100,36.75,139.62,60.0,8.63
230,barcelos,75,PT,1525275000,67,41.53,-8.62,60.8,8.05
